1,bulbasaur,1,7,69,64,1,1
2,ivysaur,2,10,130,142,2,1
3,venusaur,3,20,1000,236,3,1
4,charmander,4,6,85,62,5,1
5,charmeleon,5,11,190,142,6,1
6,charizard,6,17,905,240,7,1
7,squirtle,7,5,90,63,10,1
8,wartortle,8,10,225,142,11,1
9,blastoise,9,16,855,239,12,1
10,caterpie,10,3,29,39,14,1
11,metapod,11,7,99,72,15,1
12,butterfree,12,11,320,178,16,1
13,weedle,13,3,32,39,17,1
14,kakuna,14,6,100,72,18,1
15,beedrill,15,10,295,178,19,1
16,pidgey,16,3,18,50,21,1
17,pidgeotto,17,11,300,122,22,1
18,pidgeot,18,15,395,216,23,1
19,rattata,19,3,35,51,25,1
20,raticate,20,7,185,145,27,1
21,spearow,21,3,20,52,30,1
22,fearow,22,12,380,155,31,1
23,ekans,23,20,69,58,32,1
24,arbok,24,35,650,157,33,1
25,pikachu,25,4,60,112,35,1
26,raichu,26,8,300,218,43,1
27,sandshrew,27,6,120,60,45,1
28,sandslash,28,10,295,158,47,1
29,nidoran-f,29,4,70,55,49,1
30,nidorina,30,8,200,128,50,1
31,nidoqueen,31,13,600,227,51,1
32,nidoran-m,32,5,90,55,52,1
33,nidorino,33,9,195,128,53,1
34,nidoking,34,14,620,227,54,1
35,clefairy,35,6,75,113,56,1
36,clefable,36,13,400,217,57,1
37,vulpix,37,6,99,60,58,1
38,ninetales,38,11,199,177,60,1
39,jigglypuff,39,5,55,95,63,1
40,wigglytuff,40,10,120,196,64,1
41,zubat,41,8,75,49,65,1
42,golbat,42,16,550,159,66,1
43,oddish,43,5,54,64,68,1
44,gloom,44,8,86,138,69,1
45,vileplume,45,12,186,221,70,1
46,paras,46,3,54,57,72,1
47,parasect,47,10,295,142,73,1
48,venonat,48,10,300,61,74,1
49,venomoth,49,15,125,158,75,1
50,diglett,50,2,8,53,76,1
51,dugtrio,51,7,333,149,78,1
52,meowth,52,4,42,58,80,1
53,persian,53,10,320,154,82,1
54,psyduck,54,8,196,64,84,1
55,golduck,55,17,766,175,85,1
56,mankey,56,5,280,61,86,1
57,primeape,57,10,320,159,87,1
58,growlithe,58,7,190,70,88,1
59,arcanine,59,19,1550,194,89,1
60,poliwag,60,6,124,60,90,1
61,poliwhirl,61,10,200,135,91,1
62,poliwrath,62,13,540,230,92,1
63,abra,63,9,195,62,94,1
64,kadabra,64,13,565,140,95,1
65,alakazam,65,15,480,225,96,1
66,machop,66,8,195,61,98,1
67,machoke,67,15,705,142,99,1
68,machamp,68,16,1300,227,100,1
69,bellsprout,69,7,40,60,101,1
70,weepinbell,70,10,64,137,102,1
71,victreebel,71,17,155,221,103,1
72,tentacool,72,9,455,67,104,1
73,tentacruel,73,16,550,180,105,1
74,geodude,74,4,200,60,106,1
75,graveler,75,10,1050,137,108,1
76,golem,76,14,3000,223,110,1
77,ponyta,77,10,300,82,112,1
78,rapidash,78,17,950,175,113,1
79,slowpoke,79,12,360,63,114,1
80,slowbro,80,16,785,172,115,1
81,magnemite,81,3,60,65,118,1
82,magneton,82,10,600,163,119,1
83,farfetchd,83,8,150,132,121,1
84,doduo,84,14,392,62,122,1
85,dodrio,85,18,852,165,123,1
86,seel,86,11,900,65,124,1
87,dewgong,87,17,1200,166,125,1
88,grimer,88,9,300,65,126,1
89,muk,89,12,300,175,128,1
90,shellder,90,3,40,61,130,1
91,cloyster,91,15,1325,184,131,1
92,gastly,92,13,1,62,132,1
93,haunter,93,16,1,142,133,1
94,gengar,94,15,405,225,134,1
95,onix,95,88,2100,77,136,1
96,drowzee,96,10,324,66,139,1
97,hypno,97,16,756,169,140,1
98,krabby,98,4,65,65,141,1
99,kingler,99,13,600,166,142,1
100,voltorb,100,5,104,66,143,1
101,electrode,101,12,666,172,144,1
102,exeggcute,102,4,25,65,145,1
103,exeggutor,103,20,1200,186,146,1
104,cubone,104,4,65,64,148,1
105,marowak,105,10,450,149,149,1
106,hitmonlee,106,15,498,159,153,1
107,hitmonchan,107,14,502,159,154,1
108,lickitung,108,12,655,77,156,1
109,koffing,109,6,10,68,158,1
110,weezing,110,12,95,172,159,1
111,rhyhorn,111,10,1150,69,160,1
112,rhydon,112,19,1200,170,161,1
113,chansey,113,11,346,395,164,1
114,tangela,114,10,350,87,166,1
115,kangaskhan,115,22,800,172,168,1
116,horsea,116,4,80,59,170,1
117,seadra,117,12,250,154,171,1
118,goldeen,118,6,150,64,173,1
119,seaking,119,13,390,158,174,1
120,staryu,120,8,345,68,175,1
121,starmie,121,11,800,182,176,1
122,mr-mime,122,13,545,161,178,1
123,scyther,123,15,560,100,179,1
124,jynx,124,14,406,159,183,1
125,electabuzz,125,11,300,172,185,1
126,magmar,126,13,445,173,188,1
127,pinsir,127,15,550,175,190,1
128,tauros,128,14,884,172,192,1
129,magikarp,129,9,100,40,193,1
130,gyarados,130,65,2350,189,194,1
131,lapras,131,25,2200,187,196,1
132,ditto,132,3,40,101,197,1
133,eevee,133,3,65,65,198,1
134,vaporeon,134,10,290,184,199,1
135,jolteon,135,8,245,184,200,1
136,flareon,136,9,250,184,201,1
137,porygon,137,8,365,79,207,1
138,omanyte,138,4,75,71,210,1
139,omastar,139,10,350,173,211,1
140,kabuto,140,5,115,71,212,1
141,kabutops,141,13,405,173,213,1
142,aerodactyl,142,18,590,180,214,1
143,snorlax,143,21,4600,189,217,1
144,articuno,144,17,554,261,218,1
145,zapdos,145,16,526,261,219,1
146,moltres,146,20,600,261,220,1
147,dratini,147,18,33,60,221,1
148,dragonair,148,40,165,147,222,1
149,dragonite,149,22,2100,270,223,1
150,mewtwo,150,20,1220,306,224,1
151,mew,151,4,40,270,227,1
