252,treecko,252,5,50,62,325,1
253,grovyle,253,9,216,142,326,1
254,sceptile,254,17,522,239,327,1
255,torchic,255,4,25,62,329,1
256,combusken,256,9,195,142,330,1
257,blaziken,257,19,520,239,331,1
258,mudkip,258,4,76,62,333,1
259,marshtomp,259,7,280,142,334,1
260,swampert,260,15,819,241,335,1
261,poochyena,261,5,136,56,337,1
262,mightyena,262,10,370,147,338,1
263,zigzagoon,263,4,175,56,339,1
264,linoone,264,5,325,147,340,1
265,wurmple,265,3,36,56,341,1
266,silcoon,266,6,100,72,342,1
267,beautifly,267,10,284,178,343,1
268,cascoon,268,7,115,72,344,1
269,dustox,269,12,316,173,345,1
270,lotad,270,5,26,44,346,1
271,lombre,271,12,325,119,347,1
272,ludicolo,272,15,550,216,348,1
273,seedot,273,5,40,44,349,1
274,nuzleaf,274,10,280,119,350,1
275,shiftry,275,13,596,216,351,1
276,taillow,276,3,23,54,352,1
277,swellow,277,7,198,159,353,1
278,wingull,278,6,95,54,354,1
279,pelipper,279,12,280,154,355,1
280,ralts,280,4,66,40,356,1
281,kirlia,281,8,202,97,357,1
282,gardevoir,282,16,484,233,358,1
283,surskit,283,5,17,54,362,1
284,masquerain,284,8,36,159,363,1
285,shroomish,285,4,45,59,364,1
286,breloom,286,12,392,161,365,1
287,slakoth,287,8,240,56,366,1
288,vigoroth,288,14,465,154,367,1
289,slaking,289,20,1305,252,368,1
290,nincada,290,5,55,53,369,1
291,ninjask,291,8,120,160,370,1
292,shedinja,292,8,12,83,371,1
293,whismur,293,6,163,48,372,1
294,loudred,294,10,405,126,373,1
295,exploud,295,15,840,221,374,1
296,makuhita,296,10,864,47,375,1
297,hariyama,297,23,2538,166,376,1
298,azurill,298,2,20,38,256,1
299,nosepass,299,10,970,75,377,1
300,skitty,300,6,110,52,379,1
301,delcatty,301,11,326,140,380,1
302,sableye,302,5,110,133,381,1
303,mawile,303,6,115,133,383,1
304,aron,304,4,600,66,385,1
305,lairon,305,9,1200,151,386,1
306,aggron,306,21,3600,239,387,1
307,meditite,307,6,112,56,389,1
308,medicham,308,13,315,144,390,1
309,electrike,309,6,152,59,392,1
310,manectric,310,15,402,166,393,1
311,plusle,311,4,42,142,395,1
312,minun,312,4,42,142,396,1
313,volbeat,313,7,177,151,397,1
314,illumise,314,6,177,151,398,1
315,roselia,315,3,20,140,400,1
316,gulpin,316,4,103,60,402,1
317,swalot,317,17,800,163,403,1
318,carvanha,318,8,208,61,404,1
319,sharpedo,319,18,888,161,405,1
320,wailmer,320,20,1300,80,407,1
321,wailord,321,145,3980,175,408,1
322,numel,322,7,240,61,409,1
323,camerupt,323,19,2200,161,410,1
324,torkoal,324,5,804,165,412,1
325,spoink,325,7,306,66,413,1
326,grumpig,326,9,715,165,414,1
327,spinda,327,11,50,126,415,1
328,trapinch,328,7,150,58,416,1
329,vibrava,329,11,153,119,417,1
330,flygon,330,20,820,234,418,1
331,cacnea,331,4,513,67,419,1
332,cacturne,332,13,774,166,420,1
333,swablu,333,4,12,62,421,1
334,altaria,334,11,206,172,422,1
335,zangoose,335,13,403,160,424,1
336,seviper,336,27,525,160,425,1
337,lunatone,337,10,1680,161,426,1
338,solrock,338,12,1540,161,427,1
339,barboach,339,4,19,58,428,1
340,whiscash,340,9,236,164,429,1
341,corphish,341,6,115,62,430,1
342,crawdaunt,342,11,328,164,431,1
343,baltoy,343,5,215,60,432,1
344,claydol,344,15,1080,175,433,1
345,lileep,345,10,238,71,434,1
346,cradily,346,15,604,173,435,1
347,anorith,347,7,125,71,436,1
348,armaldo,348,15,682,173,437,1
349,feebas,349,6,74,40,438,1
350,milotic,350,62,1620,189,439,1
351,castform,351,3,8,147,440,1
352,kecleon,352,10,220,154,444,1
353,shuppet,353,6,23,59,445,1
354,banette,354,11,125,159,446,1
355,duskull,355,8,150,59,448,1
356,dusclops,356,16,306,159,449,1
357,tropius,357,20,1000,161,451,1
358,chimecho,358,6,10,159,453,1
359,absol,359,12,470,163,454,1
360,wynaut,360,6,140,52,277,1
361,snorunt,361,7,168,60,456,1
362,glalie,362,15,2565,168,457,1
363,spheal,363,8,395,58,460,1
364,sealeo,364,11,876,144,461,1
365,walrein,365,14,1506,239,462,1
366,clamperl,366,4,525,69,463,1
367,huntail,367,17,270,170,464,1
368,gorebyss,368,18,226,170,465,1
369,relicanth,369,10,234,170,466,1
370,luvdisc,370,6,87,116,467,1
371,bagon,371,6,421,60,468,1
372,shelgon,372,11,1105,147,469,1
373,salamence,373,15,1026,270,470,1
374,beldum,374,6,952,60,472,1
375,metang,375,12,2025,147,473,1
376,metagross,376,16,5500,270,474,1
377,regirock,377,17,2300,261,476,1
378,regice,378,18,1750,261,477,1
379,registeel,379,19,2050,261,478,1
380,latias,380,14,400,270,479,1
381,latios,381,20,600,270,481,1
382,kyogre,382,45,3520,302,483,1
383,groudon,383,35,9500,302,485,1
384,rayquaza,384,70,2065,306,487,1
385,jirachi,385,3,11,270,489,1
386,deoxys-normal,386,17,608,270,490,1
